"Type","File","Title","Description","OGTitle","OGDescription","H1","Canonical","TitleLength","DescriptionLength","Title_KW","Description_KW","OGTitle_KW","OGDescription_KW","H1_KW","TitleEqualsOG","DescEqualsOG","TitleMissing","DescMissing"
"기타","blank-one-shop.html","1인샵 | 몽라운지","","","","","","10","0","0","0","0","0","0","False","False","False","True"
"기타","blank-swedish.html","스웨디시 | 몽라운지","","","","","","11","0","0","0","0","0","0","False","False","False","True"
"기타","blank-women.html","여성전용 | 몽라운지","","","","","","11","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-daejeon.html","대전 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-cheongju.html","청주 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-cheonan.html","천안 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-sejong.html","세종 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-changwon.html","창원 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-daegu.html","대구 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-gongju.html","공주 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-gyeryong.html","계룡 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-jeonju.html","전주 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-gwangju.html","광주 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-iksan.html","익산 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-gunsan.html","군산 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-asan.html","아산 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"기타","blank-region-gimhae.html","김해 지역 안내 | 몽라운지","","","","","","15","0","0","0","0","0","0","False","False","False","True"
"동읍면","dong-check.html","몽라운지 지역별 읍·면·동 확인","","","","지역별 읍·면·동 확인","","17","0","0","0","0","0","0","False","False","False","True"
"기타","shop-songpa.html","송파 밸런스룸 상세 안내 | 몽라운지","서울 송파구 송파 밸런스룸의 지역, 가격, 조회수, 후기와 기본 이용 정보를 확인하세요.","송파 밸런스룸 상세 안내 | 몽라운지","서울 송파구 송파 밸런스룸의 지역, 가격, 조회수, 후기와 기본 이용 정보를 확인하세요.","송파 밸런스룸","/shop-songpa.html","20","49","0","0","0","0","0","True","True","False","False"
"기타","event.html","마사지 이벤트·프로모션 안내 | 몽라운지","지역 추천, VIP 추천전, 신규 제휴점 등 몽라운지 이벤트와 프로모션 안내를 확인하세요.","마사지 이벤트·프로모션 안내 | 몽라운지","지역 추천, VIP 추천전, 신규 제휴점 등 몽라운지 이벤트와 프로모션 안내를 확인하세요.","진행 중 이벤트","/event.html","22","50","0","0","0","0","0","True","True","False","False"
"기타","mypage.html","내정보 | 몽라운지","로그인 후 포인트·쿠폰·좋아요·후기 등을 확인하는 마이페이지 예시입니다.","내정보 | 몽라운지","로그인 후 포인트·쿠폰·좋아요·후기 등을 확인하는 마이페이지 예시입니다.","내 정보","/mypage.html","10","40","0","0","0","0","0","True","True","False","False"
