"Class","File","Context","OldTitle","NewTitle","OldDescription","NewDescription","TitlePattern","MetaPattern"
"업체상세","shops/seoul/gangnam-gu/한국미인테라피/index.html","60분·90분·60,000원·90,000원","한국미인테라피 | 강남구 업체 상세정보 | 몽라운지","강남구 출장마사지 한국미인테라피 | 영업시간·문의 | 몽라운지","역삼·논현·삼성동 중심 빠른 예약과 편안한 방문 관리","강남구에서 한국미인테라피 이용 전 확인할 정보를 모았습니다. 60분·90분·60,000원 정보를 포함해,  코스별 시간과 가격, 운영시간, 전화·문자 문의 내용을 함께 살펴볼 수 있습니다.","SHOP-10","SHOP-03"
"업체상세","shops/seoul/gangnam-gu/역삼동/한국미인테라피/index.html","60분·90분·100,000원·130,000원","한국미인테라피 | 강남구 역삼동 이용 안내","한국미인테라피 상세정보 | 강남구 역삼동 코스와 이용시간 | 몽라운지","강남구 역삼동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","한국미인테라피의 코스와 운영 정보를 강남구 역삼동 기준으로 안내합니다. 60분·90분·100,000원 정보를 포함해,  가격과 이용시간, 연락 방법을 확인해 필요한 내용을 미리 비교할 수 있습니다.","SHOP-07","SHOP-08"
"업체상세","shops/seoul/gangnam-gu/역삼동/너무이쁜테라피/index.html","120분·60분·90,000원·60,000원","너무이쁜테라피 | 강남구 역삼동 이용 안내","강남구 역삼동 출장마사지 너무이쁜테라피 | 영업시간·문의 | 몽라운지","강남구 역삼동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 역삼동에서 너무이쁜테라피 이용 전 확인할 정보를 모았습니다. 120분·60분·90,000원 정보를 포함해,  코스별 시간과 가격, 운영시간, 전화·문자 문의 내용을 함께 살펴볼 수 있습니다.","SHOP-10","SHOP-03"
"업체상세","shops/seoul/gangnam-gu/역삼동/love테라피/index.html","120분·60분·140,000원·100,000원","love테라피 | 강남구 역삼동 이용 안내","love테라피 강남구 역삼동 이용정보 | 가격·전화·문자 문의 | 몽라운지","강남구 역삼동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 역삼동 지역의 love테라피 이용 정보를 정리했습니다. 120분·60분·140,000원 정보를 포함해,  코스와 가격, 영업시간, 전화·문자 문의 방법을 확인하고 이용 전 필요한 내용을 비교할 수 있습니다.","SHOP-03","SHOP-01"
"업체상세","shops/seoul/gangnam-gu/역삼동/프리미엄테라피/index.html","120분·60분·150,000원·100,000원","프리미엄테라피 | 강남구 역삼동 이용 안내","프리미엄테라피 | 강남구 역삼동 코스·가격·운영정보 | 몽라운지","강남구 역삼동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 역삼동 생활권에서 확인할 수 있는 프리미엄테라피 정보를 담았습니다. 120분·60분·150,000원 정보를 포함해,  이용 가능한 코스와 가격, 영업시간, 전화·문자 문의 정보를 확인할 수 있습니다.","SHOP-01","SHOP-07"
"업체상세","shops/seoul/gangnam-gu/개포동/한국미인테라피/index.html","60분·90분·100,000원·130,000원","한국미인테라피 | 강남구 개포동 이용 안내","강남구 개포동 한국미인테라피 | 영업시간과 코스 구성 | 몽라운지","강남구 개포동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","한국미인테라피 이용을 검토할 때 참고할 강남구 개포동 상세 정보입니다. 60분·90분·100,000원 정보를 포함해,  코스 구성과 가격, 운영시간, 연락 방법을 한곳에서 확인할 수 있습니다.","SHOP-14","SHOP-06"
"업체상세","shops/seoul/gangnam-gu/개포동/너무이쁜테라피/index.html","120분·60분·90,000원·60,000원","너무이쁜테라피 | 강남구 개포동 이용 안내","강남구 개포동 너무이쁜테라피 | 코스별 시간·가격 안내 | 몽라운지","강남구 개포동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","너무이쁜테라피의 강남구 개포동 이용 안내입니다. 120분·60분·90,000원 정보를 포함해,  운영시간과 코스 구성, 가격, 연락 방법을 한 페이지에서 확인할 수 있습니다.","SHOP-12","SHOP-02"
"업체상세","shops/seoul/gangnam-gu/개포동/love테라피/index.html","120분·60분·140,000원·100,000원","love테라피 | 강남구 개포동 이용 안내","강남구 개포동 love테라피 이용 가이드 | 코스·연락 방법 | 몽라운지","강남구 개포동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 개포동에서 love테라피 이용 전 확인할 정보를 모았습니다. 120분·60분·140,000원 정보를 포함해,  코스별 시간과 가격, 운영시간, 전화·문자 문의 내용을 함께 살펴볼 수 있습니다.","SHOP-08","SHOP-03"
"업체상세","shops/seoul/gangnam-gu/개포동/프리미엄테라피/index.html","120분·60분·150,000원·100,000원","프리미엄테라피 | 강남구 개포동 이용 안내","프리미엄테라피 | 강남구 개포동 이용 전 확인정보 | 몽라운지","강남구 개포동 지역의 프리미엄테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","프리미엄테라피 관련 강남구 개포동 정보를 확인할 수 있습니다. 120분·60분·150,000원 정보를 포함해,  가격과 코스 구성, 영업시간 및 연락 수단을 비교해 이용 전 참고할 수 있습니다.","SHOP-11","SHOP-04"
"업체상세","shops/seoul/gangnam-gu/논현동/한국미인테라피/index.html","60분·90분·100,000원·130,000원","한국미인테라피 | 강남구 논현동 이용 안내","한국미인테라피 | 강남구 논현동 코스·가격·운영정보 | 몽라운지","강남구 논현동 지역의 한국미인테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","한국미인테라피의 강남구 논현동 이용 안내입니다. 60분·90분·100,000원 정보를 포함해,  운영시간과 코스 구성, 가격, 연락 방법을 한 페이지에서 확인할 수 있습니다.","SHOP-01","SHOP-02"
"업체상세","shops/seoul/gangnam-gu/논현동/너무이쁜테라피/index.html","120분·60분·90,000원·60,000원","너무이쁜테라피 | 강남구 논현동 이용 안내","너무이쁜테라피 강남구 논현동 안내 | 전화·문자·가격 정보 | 몽라운지","강남구 논현동 지역의 너무이쁜테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","강남구 논현동에서 너무이쁜테라피 이용 전 확인할 정보를 모았습니다. 120분·60분·90,000원 정보를 포함해,  코스별 시간과 가격, 운영시간, 전화·문자 문의 내용을 함께 살펴볼 수 있습니다.","SHOP-15","SHOP-03"
"업체상세","shops/seoul/gangnam-gu/논현동/love테라피/index.html","120분·60분·140,000원·100,000원","love테라피 | 강남구 논현동 이용 안내","love테라피 강남구 논현동 이용정보 | 가격·전화·문자 문의 | 몽라운지","강남구 논현동 지역의 love테라피 안내입니다. 영업시간, 코스와 가격, 전화·문자 문의, 주변 위치 정보를 확인할 수 있습니다.","love테라피의 강남구 논현동 이용 안내입니다. 120분·60분·140,000원 정보를 포함해,  운영시간과 코스 구성, 가격, 연락 방법을 한 페이지에서 확인할 수 있습니다.","SHOP-03","SHOP-02"
